mu_type,sampling_config,use_adaptive,blob_ratio,boundary_ratio,allow_replacement,neurons,mse,r2,blob_r2,blob_mse,background_r2,background_mse
heterogeneous,adaptive_5_25_70_noRepl,True,0.05,0.25,False,1000,7.230341338981816e-07,0.9901204002852241,0.8035248816013336,1.4107022252574097e-06,0.9919980484992266,6.2640925e-07
heterogeneous,adaptive_5_25_70_noRepl,True,0.05,0.25,False,10000,5.834236276314186e-07,0.9920280500810317,0.8452064692974091,1.1114261724287644e-06,0.9934948887676001,5.0923353e-07
constant_5000,adaptive_10_20_70_noRepl,True,0.1,0.2,False,100,3.164527879562229e-05,0.5584309021025553,,,0.5583425760269165,3.164528e-05
constant_5000,adaptive_10_20_70_noRepl,True,0.1,0.2,False,500,1.5542107121291338e-06,0.978312991756851,,,0.9783086534589529,1.5542107e-06
constant_5000,adaptive_10_20_70_noRepl,True,0.1,0.2,False,1000,1.4547269984177547e-06,0.9797011588197084,,,0.979697098955512,1.4547269e-06
constant_5000,adaptive_10_20_70_noRepl,True,0.1,0.2,False,10000,1.398919948769617e-06,0.9804798743029437,,,0.9804759696125984,1.39892e-06
heterogeneous,adaptive_10_20_70_noRepl,True,0.1,0.2,False,100,3.0153480111039244e-05,0.5792470309049047,0.1856643557548523,4.370548140286701e-06,0.5512900650501251,3.5064513e-05
heterogeneous,adaptive_10_20_70_noRepl,True,0.1,0.2,False,500,7.964371775415202e-07,0.98888674521434,0.7671538144350052,1.2496878980527981e-06,0.9909130176529288,7.1010373e-07
heterogeneous,adaptive_10_20_70_noRepl,True,0.1,0.2,False,1000,6.7894632138632e-07,0.9905261787519212,0.8028679192066193,1.0580099569779122e-06,0.9922356843017042,6.0674375e-07
heterogeneous,adaptive_10_20_70_noRepl,True,0.1,0.2,False,10000,5.516295686902595e-07,0.9923027200173123,0.8455516397953033,8.289259767479962e-07,0.9936168645508587,4.988112e-07
constant_5000,adaptive_20_10_70_noRepl,True,0.2,0.1,False,100,3.085550997639075e-05,0.5551194607993091,,,0.5550303757190704,3.0855514e-05
constant_5000,adaptive_20_10_70_noRepl,True,0.2,0.1,False,500,1.4417496458918322e-06,0.9792125827656863,,,0.9792084228247404,1.4417496e-06
constant_5000,adaptive_20_10_70_noRepl,True,0.2,0.1,False,1000,1.354398136754753e-06,0.9804720332338404,,,0.9804681278765202,1.354398e-06
constant_5000,adaptive_20_10_70_noRepl,True,0.2,0.1,False,10000,1.320969317930576e-06,0.9809540162234173,,,0.9809502046555281,1.3209693e-06
heterogeneous,adaptive_20_10_70_noRepl,True,0.2,0.1,False,100,2.8991558792768046e-05,0.5819942591172863,0.24207419157028198,2.3399938982038293e-06,0.53111132979393,3.66671e-05
heterogeneous,adaptive_20_10_70_noRepl,True,0.2,0.1,False,500,6.287556857387244e-07,0.9909344824081348,0.760437086224556,7.396182013508223e-07,0.9923679335042834,5.968277e-07
heterogeneous,adaptive_20_10_70_noRepl,True,0.2,0.1,False,1000,5.455664791043091e-07,0.9921339200168962,0.802352249622345,6.102108045524801e-07,0.9932615207508206,5.269492e-07
heterogeneous,adaptive_20_10_70_noRepl,True,0.2,0.1,False,10000,4.597909821768553e-07,0.9933706472449502,0.8448583483695984,4.789789613823814e-07,0.9941909871995449,4.542649e-07
